fixture_id,date,status,home_team,away_team,home_goals,away_goals,home_attack_form,home_defense_form,away_attack_form,away_defense_form
1005819,2023-08-06T00:00:00+00:00,FT,Fluminense,Palmeiras,2,1,0.7335816744883508,0.6655498409798114,2.3470574023345376,0.8913439363742205
1005821,2023-08-06T19:00:00+00:00,FT,Sao Paulo,Atletico-MG,0,2,1.004887864840471,0.7577942859856287,0.612323739262685,1.2772360050192122
1005820,2023-08-06T19:00:00+00:00,FT,Vasco DA Gama,Gremio,1,0,0.476245478108619,2.0513631022504386,1.3227964049851118,0.9946028942664099
1005826,2023-08-06T21:30:00+00:00,FT,Coritiba,RB Bragantino,0,1,1.2915563989207552,1.8320108929377696,1.3493842461071215,0.36100854318863473
1005827,2023-08-06T21:30:00+00:00,FT,Bahia,America Mineiro,3,1,0.2981262770078739,0.7009108528638499,1.1413010832530561,2.604896863592756
1005824,2023-08-06T21:30:00+00:00,FT,Cruzeiro,Botafogo,0,0,1.215118049316385,1.327174881032221,2.562142105163736,0.8028584977782689
1005828,2023-08-06T23:00:00+00:00,FT,Cuiaba,Flamengo,3,0,1.609992291163419,0.7802088226480102,1.4004330283979756,0.8978367501248421
1005830,2023-08-13T00:00:00+00:00,FT,Botafogo,Internacional,3,1,1.7075164633220035,0.5350577939886586,1.0198280809367546,1.3178850271198466
1005834,2023-08-13T14:00:00+00:00,FT,Atletico-MG,Bahia,1,0,1.0751956902801616,0.8512023988531101,1.1993606621084196,0.8006747394273526
1005838,2023-08-13T19:00:00+00:00,FT,America Mineiro,Goias,0,1,1.0941528686532642,2.7367317160617772,1.0076284859622489,0.696133738251206
1005835,2023-08-13T19:00:00+00:00,FT,Gremio,Fluminense,2,1,0.8814162871669255,0.9964037573135059,1.156006945943526,0.7771087124571731
1005832,2023-08-13T19:00:00+00:00,FT,Corinthians,Coritiba,3,1,1.5375221270259165,1.069364204728797,0.8607460960191884,1.554486144422381
1005837,2023-08-13T21:30:00+00:00,FT,Fortaleza EC,Santos,4,0,0.3137030767088335,1.698136458869303,1.070825372497137,1.7284873893135382
